GEO_ID,NAME,Total,Total_forprofit,Total_nonprofit,Total_localGov,Total_stateGov,Total_fedGov,Total_selfEmpNotincorp,Total_UnpaidFamily,Total_DroveAlone,Total_Carpooled,Total_PublicTransport,Total_Walked,Total_CabBikeOther,Total_WorkFromHome,Total_AllGov,perc_AllGov,perc_UnpaidFAm,perc_ForProfit,perc_NonProfit,perc_WFH,perc_Walk,perc_PubTrans,perc_DroveAlone,perc_Carpool
0400000US31,Nebraska,1047095,712756,102507,77730,52228,31417,67454,3003,806043,89395,5009,24344,17891,104413,161375,15.411686618692668,0.2867934619112879,68.06985039561836,9.789656143902894,9.971683562618484,2.324908437152312,0.4783711124587549,76.97897516462213,8.537429746107087
0400000US32,Nevada,1536949,1174300,75212,101253,45131,55777,81478,3798,1073308,186339,35133,24534,39256,178379,202161,13.153396762026587,0.24711294909590364,76.4046171993996,4.893591134123514,11.606045483617217,1.5962793820744863,2.2858923750885682,69.83367697952242,12.123954666029906
0400000US33,New Hampshire,721147,506293,85421,46187,23201,14453,44638,954,513864,49585,3336,18773,13796,121793,83841,11.626062370085434,0.13228925586600238,70.20662916159951,11.845157783364558,16.888789664243212,2.603214046512015,0.46259639158174404,71.25648446155915,6.8758519414210975
0400000US34,New Jersey,4321453,3144076,334966,378420,158962,77118,219992,7919,2890946,369407,164746,118422,120607,657325,614500,14.219754328000327,0.18324855089248915,72.75506640937665,7.7512355219413465,15.210740461599373,2.7403283108713667,3.8122825818075543,66.89754580230307,8.548212834896042
0400000US35,New Mexico,938405,563292,83689,77887,74344,79749,57709,1735,701943,94097,6563,17036,17548,101218,231980,24.72066964690086,0.18488818793591252,60.02653438547322,8.91821761393002,10.786174412966682,1.815420847075623,0.6993782002440311,74.80171141458113,10.027333613951333
0400000US36,New York,9861756,6586899,1143204,940171,421058,216943,536450,17031,4728345,620293,2533371,546083,264542,1169122,1578172,16.002951198549223,0.17269743846836202,66.7923542217025,11.592296544347679,11.855109779637623,5.537380969474402,25.688842838942676,47.94627853295093,6.289883870580453
0400000US37,North Carolina,5248923,3747696,403917,323984,252870,220908,291457,8091,3753427,445895,33447,90881,80274,844999,797762,15.198584547725314,0.15414590764619712,71.39933277740977,7.695235765508467,16.098521544324427,1.7314218554930223,0.6372164346857441,71.50851708055157,8.494980779866651
0400000US38,North Dakota,435962,275177,40851,42161,24617,24179,28230,747,335922,44240,739,12898,7946,34217,90957,20.863515627508818,0.17134520898610428,63.11949206582225,9.37031209142081,7.84861983383873,2.9585147329354395,0.16951018666764536,77.05304590767085,10.147673421077984
0400000US39,Ohio,5705345,4079908,589961,435243,179546,129032,282214,9441,4311709,456298,64431,114370,82191,676346,743821,13.037265932209182,0.1654764085256895,71.51027676678623,10.340496499335272,11.854603008231756,2.00461146521376,1.1293094457916217,75.57315114160494,7.997728445869619
0400000US40,Oklahoma,1830815,1236025,136668,132269,98882,108430,114960,3581,1414367,183559,5441,33222,26751,167475,339581,18.54807831484885,0.19559595043737352,67.51228278116577,7.464872201724369,9.147565428511346,1.814601693781185,0.29719004924036563,77.25340900090943,10.02608128074109
0400000US41,Oregon,2109256,1431222,220038,163453,106671,43112,141232,3528,1374986,196702,46737,71051,55844,363936,313236,14.850544457382128,0.1672627694314962,67.85435243517145,10.43201963156677,17.25423561672931,3.3685337389107817,2.215805004228979,65.18819906165966,9.325657957118528
0400000US42,Pennsylvania,6263214,4425418,813117,372088,186842,139347,316873,9529,4286308,512644,243411,217048,115194,888609,698277,11.148860632895508,0.15214233459051535,70.65730150686214,12.982424039798095,14.187747696310552,3.4654412255433074,3.886359303705733,68.4362373695039,8.184998947824552
0400000US44,Rhode Island,520039,354279,62400,26105,24106,21895,30050,1204,377073,41502,7251,16792,12476,64945,72106,13.865498549147276,0.23152109745615235,68.12546751301345,11.999100067494938,12.488486440440044,3.228988595086138,1.3943185030353493,72.50860031651473,7.980555304506008
0400000US45,South Carolina,2453680,1745895,164322,164690,131496,102500,139915,4862,1859848,216064,7929,38127,35482,296230,398686,16.248492060904436,0.19815134817906163,71.15414397965505,6.696961298946888,12.072886439959571,1.553870105311206,0.3231472726679926,75.79831110821297,8.805712236314434
0400000US46,South Dakota,470609,304351,53381,36652,20793,18905,35752,775,358172,42579,3376,14408,6220,45854,76350,16.223659131040844,0.16468023348469749,64.67173385974344,11.342961991802111,9.74354506607396,3.061564908448415,0.7173683461217274,76.10819172604009,9.047638272961207
0400000US47,Tennessee,3460331,2468353,266725,252733,130396,106420,230823,4881,2627625,289806,16588,49913,40150,436249,489549,14.147461615666245,0.1410558700887285,71.3328580416151,7.708077637659519,12.607146541761468,1.4424342642365715,0.47937610592743873,75.93565471048868,8.37509475249622
0400000US48,Texas,14798256,10710888,921989,1125142,562881,478915,969356,29085,10603538,1565239,131203,211422,265373,2021481,2166938,14.643198495822752,0.19654343052316436,72.3793938961456,6.230389581042523,13.660265101509259,1.4286953814017003,0.8866112331074689,71.6539705759922,10.577185581868566
0400000US49,Utah,1742568,1266257,119628,117454,92610,57533,86115,2971,1187819,182577,28458,32126,27479,284109,267597,15.356473893701708,0.17049549859747223,72.66614559661373,6.865040560827468,16.30404093269244,1.8436009383851877,1.6331070007024118,68.16485784198953,10.477467737270512
0400000US50,Vermont,343212,208640,52054,26712,17836,8690,28724,556,235173,28555,2880,16090,5472,55042,53238,15.511695395265901,0.16199899770404297,60.790415253545916,15.16671911238535,16.037318042492686,4.688064519888583,0.8391314988986398,68.52120555225342,8.319930538559257
0400000US51,Virginia,4357417,2825351,366317,342983,179795,428719,207386,6866,3014121,371792,75707,86703,77556,731538,951497,21.83626217091456,0.15757041384838769,64.8400417036056,8.40674647388579,16.788340431957742,1.9897797250068103,1.7374283893416675,69.17219536252784,8.532394306076284
0400000US53,Washington,3829860,2619203,336193,287182,198853,174862,207167,6400,2478272,339414,153825,118446,73020,666883,660897,17.25642712788457,0.16710793606032598,68.38900116453343,8.778205991863933,17.412725269330995,3.092697905406464,4.016465353824944,64.70920608064003,8.862308282809293
0400000US54,West Virginia,712503,464896,67792,58078,57523,34447,28482,1285,551149,68626,3370,17136,10167,62055,150048,21.05927975040105,0.1803501178240653,65.24828667388067,9.514626605080961,8.709437012896789,2.405042505084189,0.47298046464365767,77.35391991331967,9.631678743808799
0400000US55,Wisconsin,2997098,2169539,297493,224731,115968,42135,142166,5066,2236185,233980,31842,78813,47662,368616,382834,12.773489555563414,0.1690301751894666,72.38798998230955,9.926035117970784,12.299097326814138,2.629643742046473,1.0624277217495057,74.61167435966391,7.8068851936106185
0400000US56,Wyoming,288529,175957,22589,32774,19303,15760,20999,1147,211219,29584,3345,9657,5725,28999,67837,23.511328150723152,0.3975336967861116,60.98416450339481,7.829022385964669,10.05063615789054,3.3469772535862945,1.1593288716212236,73.20546634827002,10.253388740819814
0400000US72,Puerto Rico,1159079,786496,41323,61716,114835,25418,128287,1004,962957,79473,12631,26863,18417,58738,201969,17.424955503464385,0.08662049782629139,67.85525404221801,3.565158198880318,5.067644224423011,2.3176159692307428,1.0897445299241897,83.07949673835864,6.8565645654869085
